Wavelength,O5V,B5V,A5V,F5V,G5V,K5V,M5V
1765,1214268.009,5494.516,32.683,0.131,0.001,0,0
1775,1200880.07,5832.884,42.333,0.176,0.001,0,0
1785,1210038.646,5976.655,42.722,0.216,0.001,0,0
1795,1187592.051,6310.108,54.706,0.342,0.002,0,0
1805,1181264.516,6276.514,49.417,0.267,0.002,0,0
1815,1173404.964,5941.879,51.716,0.242,0.002,0,0
1825,1162248.366,6030.903,48.255,0.283,0.002,0,0
1835,1161582.312,5829.401,44.178,0.275,0.002,0,0
1845,1156087.237,5489.663,37.379,0.169,0.002,0,0
1855,1150958.603,5386.89,45.073,0.332,0.003,0,0
1865,1147295.256,5571.036,52.633,0.473,0.003,0,0
1875,1129078.515,6164.285,50.773,0.45,0.004,0,0
1885,1118920.946,5746.348,52.781,0.476,0.004,0,0
1895,1129278.255,5529.541,57.812,0.625,0.005,0,0
1905,1122650.98,5923.589,53.729,0.585,0.005,0,0
1915,1114558.19,5715.864,59.672,0.659,0.006,0,0
1925,1079489.945,5689.176,58.157,0.509,0.006,0,0
1935,1104200.941,5937.151,43.122,0.218,0.004,0,0
1945,1098606.034,6069.35,65.272,0.766,0.008,0,0
1955,1074494.492,5748.712,66.506,0.823,0.008,0,0
1967,1078957.198,6279.003,75.101,1.062,0.011,0,0
1976,1070597.919,6497.987,73.479,0.884,0.01,0,0
1984,1070797.844,6173.243,72.013,1.131,0.012,0,0
1995,1060806.88,5972.3,70.628,1.228,0.013,0,0
2005,1057842.839,6206.713,65.465,1.086,0.013,0,0
2015,1050216.401,5965.643,65.991,1.184,0.014,0,0
2025,1043355.966,6406.536,61.13,0.886,0.012,0,0
2035,1032832.206,6053.61,70.965,1.379,0.016,0,0
2045,1020842.931,6249.763,78.966,1.609,0.019,0,0
2055,767105.953,5999.299,76.517,1.521,0.02,0,0
2065,830148.88,6150.66,73.545,1.428,0.02,0,0
2074,1001260.684,6402.803,86.637,1.717,0.022,0,0
2078,1014715.214,6185.188,91.359,3.294,0.072,0,0
2085,1013816.115,6389.739,88.76,4.022,0.101,0,0
2095,1008920.448,6066.239,84.319,3.693,0.092,0,0
2105,995632.579,6193.214,76.689,3.361,0.093,0,0
2115,1006056.437,6244.786,79.592,3.85,0.115,0,0
2125,992368.84,6366.721,83.608,3.348,0.101,0,0
2135,992268.871,5976.78,67.636,3.062,0.102,0,0
2145,982244.62,6189.045,81.583,4.121,0.142,0,0
2155,984509.136,6407.158,81.926,4.177,0.132,0,0
2165,947575.985,6204.66,75.348,3.529,0.112,0,0
2175,972253.702,6168.329,75.5,3.683,0.11,0,0
2185,948874.804,6044.279,81.272,4.674,0.172,0,0
2195,963394.89,6350.545,88.934,4.746,0.159,0,0
2205,955335.62,6176.914,84.505,4.531,0.163,0,0
2215,928126.916,5974.727,75.046,3.404,0.116,0,0
2225,942114.269,5719.97,74.612,3.93,0.16,0,0
2235,936985.55,6193.711,90.344,5.371,0.238,0,0
2245,929225.954,5858.08,81.415,5.076,0.228,0,0
2255,905547.294,5735.71,75.137,3.756,0.161,0,0
2265,917369.994,5884.769,75.583,3.624,0.134,0,0
2275,914505.858,6105.557,81.915,4.077,0.146,0,0
2285,900418.587,6224.256,89.819,5.502,0.254,0,0
2295,888662.635,6027.731,81.113,4.53,0.188,0,0
2305,872210.767,5851.485,85.801,5.65,0.259,0,0
2315,881602.279,5642.828,82.128,4.81,0.208,0,0
2325,882634.699,4565.45,57.418,3.623,0.179,0,0
2335,877772.427,5437.53,70.003,3.083,0.156,0,0
2345,868480.925,5322.688,57.029,1.855,0.095,0,0
2355,859489.054,5607.928,82.328,4.352,0.215,0,0
2365,853161.368,5286.418,61.336,2.159,0.117,0,0
2375,843003.938,5417.063,72.841,3.175,0.159,0,0
2385,807436.085,5138.355,53.409,1.536,0.091,0,0
2395,829016.548,5564.006,63.651,2.151,0.119,0,0
2405,824287.527,5305.331,62.521,2.159,0.125,0,0
2415,822289.391,5419.987,64.579,2.778,0.145,0,0
2425,824287.527,5628.955,81.917,5.301,0.291,0,0
2435,816028.293,5382.1,78.825,5.264,0.3,0,0
2445,812631.483,5751.263,87.952,6.417,0.383,0,0
2455,802673.683,5588.455,87.463,6.874,0.428,0,0
2465,802340.666,5647.681,89.047,6.132,0.331,0,0
2475,801141.861,5453.208,81.096,5.367,0.281,0,0
2485,790784.446,5837.363,82.206,3.523,0.116,0,0
2495,728307.662,5695.521,77.584,4.128,0.184,0,0
